"Name","Country","Club","Year","Queer"
"Helen Nilsson","Sweden","Sundsvalls DFF",1991,0
"Ingrid Johansson","Sweden","Jitex BK",1991,0
"Marie Karlsson","Sweden","Öxabäck/Marks IF",1991,0
"Pärnilla Larsson","Sweden","Gideonsbergs IF",1991,0
"Mary Harvey","United States","UC Berkeley",1991,0
"April Heinrichs","United States","University of North Carolina",1991,0
"Shannon Higgins","United States","University of North Carolina",1991,0
"Carla Werden","United States","University of North Carolina",1991,0
"Lori Henry","United States","University of North Carolina",1991,0
"Brandi Chastain","United States","Santa Clara University",1991,0
"Tracey Bates","United States","University of North Carolina",1991,0
"Linda Hamilton","United States","University of North Carolina",1991,0
"Mia Hamm","United States","University of North Carolina",1991,0
"Michelle Akers-Stahl","United States","University of Central Florida",1991,0
"Julie Foudy","United States","Stanford University",1991,0
"Carin Jennings","United States","UC Santa Barbara",1991,0
"Kristine Lilly","United States","University of North Carolina",1991,0
"Joy Biefeld","United States","UC Berkeley",1991,0
"Wendy Gebauer","United States","University of North Carolina",1991,0
"Debbie Belkin","United States","University of Massachusetts Amherst",1991,0
"Amy Allmann","United States","University of Central Florida",1991,0
"Kim Maslin-Kammerdeiner","United States","George Mason University",1991,0
"Hong Li-chyn","Chinese Taipei","Taiwan PE College",1991,0
"Liu Hsiu-mei","Chinese Taipei","Taiwan PE College",1991,0
"Chen Shwu-ju","Chinese Taipei","Ming Chuan University",1991,0
"Lo Chu-yin","Chinese Taipei","Mulan",1991,0
"Chen Hsiu-lin","Chinese Taipei","Jinwen College",1991,0
"Chou Tai-ying","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Lin Mei-chun","Chinese Taipei","Ming Chuan University",1991,0
"Shieh Su-jean","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Wu Su-ching","Chinese Taipei","Taiwan PE College",1991,0
"Huang Yu-chuan","Chinese Taipei","Ming Chuan University",1991,0
"Hsu Chia-cheng","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Lan Lan-fen","Chinese Taipei","Ming Chuan University",1991,0
"Lin Chao-chun","Chinese Taipei","Taiwan PE College",1991,0
"Ko Chiao-lin","Chinese Taipei","Ming Chuan University",1991,0
"Wu Min-hsun","Chinese Taipei","Jinwen College",1991,0
"Chen Shu-chin","Chinese Taipei","Jinwen College",1991,0
"Lin Mei-jih","Chinese Taipei","Ming Chuan University",1991,0
"Lin Hui-fang","Chinese Taipei","Jinwen College",1991,0
"Marion Isbert","Germany","TSV Siegen",1991,0
"Britta Unsleber","Germany","FSV Frankfurt",1991,0
"Birgitt Austermühl","Germany","TSV Battenberg",1991,0
"Jutta Nardenbach","Germany","TuS Ahrbach",1991,0
"Doris Fitschen","Germany","VfR Eintracht Wolfsburg",1991,0
"Frauke Kuhlmann","Germany","Schmalfelder SV",1991,0
"Martina Voss","Germany","TSV Siegen",1991,0
"Bettina Wiegmann","Germany","Grün-Weiß Brauweiler",1991,0
"Heidi Mohr","Germany","TuS Niederkirchen",1991,0
"Silvia Neid","Germany","TSV Siegen",1991,0
"Beate Wendt","Germany","SC Poppenbüttel",1991,0
"Elke Walther","Germany","VfL Sindelfingen",1991,0
"Roswitha Bindl","Germany","FC Wacker München",1991,0
"Petra Damm","Germany","VfR Eintracht Wolfsburg",1991,0
"Christine Paul","Germany","FC Wacker München",1991,0
"Gudrun Gottschlich","Germany","KBC Duisburg",1991,0
"Sandra Hengst","Germany","KBC Duisburg",1991,0
"Michaela Kubat","Germany","Grün-Weiß Brauweiler",1991,0
"Stefania Antonini","Italy","Reggiana",1991,0
"Paola Bonato","Italy","Reggiana",1991,0
"Marina Cordenons","Italy","Pordenone",1991,0
"Maria Mariotti","Italy","Reggiana",1991,0
