"Pos","Country","Matches_Played","Wins","Draws","Losses","Goals.For","Goals.Against","Goal.Differential","Points","Year"
2,"Spain",3,1,1,1,3,2,1,4,2019
3,"China",3,1,1,1,1,1,0,4,2019
4,"South Africa",3,0,0,3,1,8,-7,0,2019
1,"Italy",3,2,0,1,7,2,5,6,2019
2,"Australia",3,2,0,1,8,5,3,6,2019
3,"Brazil",3,2,0,1,6,3,3,6,2019
4,"Jamaica",3,0,0,3,1,12,-11,0,2019
1,"England",3,3,0,0,5,1,4,9,2019
2,"Japan",3,1,1,1,2,3,-1,4,2019
3,"Argentina",3,0,2,1,3,4,-1,2,2019
4,"Scotland",3,0,1,2,5,7,-2,1,2019
1,"Netherlands",3,3,0,0,6,2,4,9,2019
2,"Canada",3,2,0,1,4,2,2,6,2019
3,"Cameroon",3,1,0,2,3,5,-2,3,2019
4,"New Zealand",3,0,0,3,1,5,-4,0,2019
1,"United States",3,3,0,0,18,0,18,9,2019
2,"Sweden",3,2,0,1,7,3,4,6,2019
3,"Chile",3,1,0,2,2,5,-3,3,2019
4,"Thailand",3,0,0,3,1,20,-19,0,2019
1,"Switzerland",3,1,2,0,2,0,2,5,2023
2,"Norway",3,1,1,1,6,1,5,4,2023
3,"New Zealand",3,1,1,1,1,1,0,4,2023
4,"Philippines",3,1,0,2,1,8,-7,3,2023
1,"Australia",3,2,0,1,7,3,4,6,2023
2,"Nigeria",3,1,2,0,3,2,1,5,2023
3,"Canada",3,1,1,1,2,5,-3,4,2023
4,"Ireland",3,0,1,2,1,3,-2,1,2023
1,"Japan",3,3,0,0,11,0,11,9,2023
2,"Spain",3,2,0,1,8,4,4,6,2023
3,"Zambia",3,1,0,2,3,11,-8,3,2023
4,"Costa Rica",3,0,0,3,1,8,-7,0,2023
1,"England",3,3,0,0,8,1,7,9,2023
2,"Denmark",3,2,0,1,3,1,2,6,2023
3,"China",3,1,0,2,2,7,-5,3,2023
4,"Haiti",3,0,0,3,0,4,-4,0,2023
1,"Netherlands",3,2,1,0,9,1,8,7,2023
2,"United States",3,1,2,0,4,1,3,5,2023
3,"Portugal",3,1,1,1,2,1,1,4,2023
4,"Vietnam",3,0,0,3,0,12,-12,0,2023
1,"France",3,2,1,0,8,4,4,7,2023
2,"Jamaica",3,1,2,0,1,0,1,5,2023
3,"Brazil",3,1,1,1,5,2,3,4,2023
4,"Panama",3,0,0,3,3,11,-8,0,2023
1,"Sweden",3,3,0,0,9,1,8,9,2023
2,"South Africa",3,1,1,1,6,6,0,4,2023
3,"Italy",3,1,0,2,3,8,-5,3,2023
4,"Argentina",3,0,1,2,2,5,-3,1,2023
1,"Colombia",3,2,0,1,4,2,2,6,2023
2,"Morocco",3,2,0,1,2,6,-4,6,2023
3,"Germany",3,1,1,1,8,3,5,4,2023
4,"South Korea",3,0,1,2,1,4,-3,1,2023
