"Name","Country","Club","Year"
"Tracey Bates","United States","University of North Carolina",1991
"Linda Hamilton","United States","University of North Carolina",1991
"Mia Hamm","United States","University of North Carolina",1991
"Michelle Akers-Stahl","United States","University of Central Florida",1991
"Julie Foudy","United States","Stanford University",1991
"Carin Jennings","United States","UC Santa Barbara",1991
"Kristine Lilly","United States","University of North Carolina",1991
"Joy Biefeld","United States","UC Berkeley",1991
"Wendy Gebauer","United States","University of North Carolina",1991
"Debbie Belkin","United States","University of Massachusetts Amherst",1991
"Amy Allmann","United States","University of Central Florida",1991
"Kim Maslin-Kammerdeiner","United States","George Mason University",1991
"Hong Li-chyn","Chinese Taipei","Taiwan PE College",1991
"Liu Hsiu-mei","Chinese Taipei","Taiwan PE College",1991
"Chen Shwu-ju","Chinese Taipei","Ming Chuan University",1991
"Lo Chu-yin","Chinese Taipei","Mulan",1991
"Chen Hsiu-lin","Chinese Taipei","Jinwen College",1991
"Chou Tai-ying","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991
"Lin Mei-chun","Chinese Taipei","Ming Chuan University",1991
"Shieh Su-jean","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991
"Wu Su-ching","Chinese Taipei","Taiwan PE College",1991
"Huang Yu-chuan","Chinese Taipei","Ming Chuan University",1991
"Hsu Chia-cheng","Chinese Taipei","Suzuyo Shimizu F.C. Lovely Ladies",1991
"Lan Lan-fen","Chinese Taipei","Ming Chuan University",1991
"Lin Chao-chun","Chinese Taipei","Taiwan PE College",1991
"Ko Chiao-lin","Chinese Taipei","Ming Chuan University",1991
"Wu Min-hsun","Chinese Taipei","Jinwen College",1991
"Chen Shu-chin","Chinese Taipei","Jinwen College",1991
"Lin Mei-jih","Chinese Taipei","Ming Chuan University",1991
"Lin Hui-fang","Chinese Taipei","Jinwen College",1991
"Marion Isbert","Germany","TSV Siegen",1991
"Britta Unsleber","Germany","FSV Frankfurt",1991
"Birgitt Austermühl","Germany","TSV Battenberg",1991
"Jutta Nardenbach","Germany","TuS Ahrbach",1991
"Doris Fitschen","Germany","VfR Eintracht Wolfsburg",1991
"Frauke Kuhlmann","Germany","Schmalfelder SV",1991
"Martina Voss","Germany","TSV Siegen",1991
"Bettina Wiegmann","Germany","Grün-Weiß Brauweiler",1991
"Heidi Mohr","Germany","TuS Niederkirchen",1991
"Silvia Neid","Germany","TSV Siegen",1991
"Beate Wendt","Germany","SC Poppenbüttel",1991
"Elke Walther","Germany","VfL Sindelfingen",1991
"Roswitha Bindl","Germany","FC Wacker München",1991
"Petra Damm","Germany","VfR Eintracht Wolfsburg",1991
"Christine Paul","Germany","FC Wacker München",1991
"Gudrun Gottschlich","Germany","KBC Duisburg",1991
"Sandra Hengst","Germany","KBC Duisburg",1991
"Michaela Kubat","Germany","Grün-Weiß Brauweiler",1991
"Stefania Antonini","Italy","Reggiana",1991
"Paola Bonato","Italy","Reggiana",1991
"Marina Cordenons","Italy","Pordenone",1991
"Maria Mariotti","Italy","Reggiana",1991
"Raffaella Salmaso","Italy","Milan '82",1991
"Maura Furlotti","Italy","Lazio",1991
"Silvia Fiorini","Italy","Firenze",1991
"Federica D'Astolfo","Italy","Sassari",1991
"Carolina Morace","Italy","Milan '82",1991
"Feriana Ferraguzzi","Italy","Standard Liège",1991
"Adele Marsiletti","Italy","Reggiana",1991
"Giorgia Brenzan","Italy","Sassari",1991
"Emma Iozzelli","Italy","Reggiana",1991
"Elisabetta Bavagnoli","Italy","Milan '82",1991
"Anna Mega","Italy","Reggiana",1991
"Fabiana Correra","Italy","Turris",1991
"Nausica Pedersoli","Italy","Milan '82",1991
"Rita Guarino","Italy","Juventus",1991
"Ann Chiejine","Nigeria","Flying Angels",1991
"Diana Nwaiwu","Nigeria","Kakanfo Babes",1991
"Ngozi Ezeocha","Nigeria","Princess Jegede",1991
"Adaku Okoroafor","Nigeria","Flying Angels",1991
"Omo-Love Branch","Nigeria","Ufuoma Babes",1991
"Nkechi Mbilitam","Nigeria","Kakanfo Babes",1991
"Chioma Ajunwa","Nigeria","River Mermaids",1991
"Rita Nwadike","Nigeria","River Mermaids",1991
"Ngozi Eucharia Uche","Nigeria","Ufuoma Babes",1991
"Mavis Ogun","Nigeria","Ufuoma Babes",1991
"Gift Showemimo","Nigeria","Kakanfo Babes",1991
"Florence Omagbemi","Nigeria","Ufuoma Babes",1991
"Nkiru Okosieme","Nigeria","S.C. Imo State",1991
"Phoebe Ebimiekumo","Nigeria","Ufuoma Babes",1991
"Ann Mukoro","Nigeria","Ufuoma Babes",1991
