Stage,Country
Quarter-finals,Japan
Quarter-finals,United States
Quarter-finals,Norway
Quarter-finals,Denmark
Quarter-finals,Germany
Quarter-finals,England
Quarter-finals,Sweden
Quarter-finals,China
Quarter-finals,Penalties
Semi-finals,United States
Semi-finals,Norway
Semi-finals,Germany
Semi-finals,China
