Stage,Country
Quarter-finals,England
Quarter-finals,France
Quarter-finals,Germany
Quarter-finals,Japan
Quarter-finals,Sweden
Quarter-finals,Australia
Quarter-finals,Brazil
Quarter-finals,United States
Semi-finals,France
Semi-finals,United States
Semi-finals,Japan
Semi-finals,Sweden
