Name,Country,Club
Player,Argentina,Club
Romina Ferro,Argentina,Boca Juniors
Eva González (captain),Argentina,Boca Juniors
Valeria Cotelo,Argentina,Boca Juniors
Gabriela Chávez,Argentina,Independiente
Carmen Brusca,Argentina,Boca Juniors
Celeste Barbitta,Argentina,Boca Juniors
Ludmila Manicler,Argentina,Independiente
Clarisa Huber,Argentina,Boca Juniors
Natalia Gatti,Argentina,Boca Juniors
Emilia Mendieta,Argentina,Unattached
Rosana Gómez,Argentina,Boca Juniors
Vanina Correa,Argentina,Renato Cesarini
Florencia Quiñones,Argentina,San Lorenzo
Catalina Pérez,Argentina,River Plate
Florencia Mandrile,Argentina,San Lorenzo
Andrea Ojeda,Argentina,Boca Juniors
Fabiana Vallejos,Argentina,Boca Juniors
Belén Potassa,Argentina,Unattached
Analía Almeida,Argentina,San Lorenzo
Mercedes Pereyra,Argentina,River Plate
Elisabeth Minnig,Argentina,Unattached
Player,England,Club
Rachel Brown,England,Everton
Alex Scott,England,Arsenal
Casey Stoney,England,Chelsea
Katie Chapman,England,Arsenal
Faye White (captain),England,Arsenal
Mary Phillip,England,Arsenal
Karen Carney,England,Arsenal
Fara Williams,England,Everton
Eniola Aluko,England,Chelsea
Kelly Smith,England,Arsenal
Rachel Yankey,England,Arsenal
Anita Asante,England,Arsenal
Siobhan Chamberlain,England,Chelsea
Rachel Unitt,England,Everton
Sue Smith,England,Leeds United
Jill Scott,England,Everton
Jody Handley,England,Everton
Lianne Sanderson,England,Arsenal
Vicky Exley,England,Doncaster Rovers Belles
Lindsay Johnson,England,Everton
Carly Telford,England,Leeds United
Player,Germany,Club
Nadine Angerer,Germany,FFC Turbine Potsdam
Kerstin Stegemann,Germany,Wattenscheid 09
Saskia Bartusiak,Germany,FSV Frankfurt
Babett Peter,Germany,FFC Turbine Potsdam
Annike Krahn,Germany,FCR Duisburg
Linda Bresonik,Germany,Essen-Schoenebeck
Melanie Behringer,Germany,SC Freiburg
Sandra Smisek,Germany,FFC Frankfurt
Birgit Prinz (captain),Germany,FFC Frankfurt
Renate Lingor,Germany,FFC Frankfurt
Anja Mittag,Germany,FFC Turbine Potsdam
Ursula Holl,Germany,SC 07 Bad Neuenahr
Sandra Minnert,Germany,SC 07 Bad Neuenahr
Simone Laudehr,Germany,FCR Duisburg
Sonja Fuss,Germany,FCR Duisburg
Martina Müller,Germany,VfL Wolfsburg
Ariane Hingst,Germany,Djurgårdens IF
Kerstin Garefrekes,Germany,FFC Frankfurt
Fatmire Bajramaj,Germany,FCR Duisburg
Petra Wimbersky,Germany,FFC Frankfurt
Silke Rottenberg,Germany,FFC Frankfurt
Player,Japan,Club
Miho Fukumoto,Japan,Okayama Yunogo Belle
Hiromi Isozaki (captain),Japan,Tasaki Perule
Yukari Kinga,Japan,NTV Beleza
Kyoko Yano,Japan,Kanagawa University
Miyuki Yanagita,Japan,Urawa Reds Ladies
Ayumi Hara,Japan,INAC Leonessa
Tomomi Miyamoto,Japan,IGA FC Kunoichi
Tomoe Sakai,Japan,NTV Beleza
Eriko Arakawa,Japan,NTV Beleza
Homare Sawa,Japan,NTV Beleza
Mio Otani,Japan,Tasaki Perule
Nozomi Yamago,Japan,Urawa Reds Ladies
Kozue Ando,Japan,Urawa Reds Ladies
Nayuha Toyoda,Japan,NTV Beleza
Azusa Iwashimizu,Japan,NTV Beleza
Aya Miyama,Japan,Okayama Yunogo Belle
Yūki Nagasato,Japan,NTV Beleza
Shinobu Ohno,Japan,NTV Beleza
Mizuho Sakaguchi,Japan,Tasaki Perule
Rumi Utsugi,Japan,NTV Beleza
Misaki Amano,Japan,Waseda University
Player,Nigeria,Club
Precious Dede,Nigeria,Delta Queens FC
Efioanwan Ekpo,Nigeria,Pelican Stars
Ayisat Yusuf,Nigeria,NiceFutis
Perpetua Nkwocha,Nigeria,Sunnanå SK
Onome Ebi,Nigeria,Bayelsa Queens FC
Gift Otuwe,Nigeria,Bayelsa Queens FC
Stella Mbachu,Nigeria,Tianjin Teda F.C.
Ifeanyi Chiejine,Nigeria,Bayelsa Queens FC
Ogonna Chukwudi,Nigeria,Nasarawa Amazons
Rita Chikwelu,Nigeria,United Pietarsaari
Chi-Chi Igbo,Nigeria,Fortuna Hjørring
Tochukwu Oluehi,Nigeria,Bayelsa Queens FC
Christie George (captain),Nigeria,Pelican Stars
Faith Ikidi,Nigeria,Linköpings FC
Maureen Mmadu,Nigeria,Linköpings FC
Ulunma Jerome,Nigeria,Rivers Angels
Yinka Kudaisi,Nigeria,Pelican Stars
