Name,Country,Club
Player,Nigeria,Club
Ugochi Opara,Nigeria,Pelican Stars
Efioanwan Ekpo,Nigeria,Beijing Chengjian
Bunmi Kayode,Nigeria,Inneh Queens
Perpetua Nkwocha,Nigeria,Beijing Chengjian
Onome Ebi,Nigeria,Omidiran Babes
Florence Ajayi,Nigeria,Police Machine
Stella Mbachu,Nigeria,Rivers Angels
Olaitan Yusuf,Nigeria,Pelican Stars
Faith Ikidi,Nigeria,Bayelsa Queens
Mercy Akide,Nigeria,Hampton Roads Piranhas
Nkechi Egbe,Nigeria,Delta Queens
Precious Dede,Nigeria,Delta Queens
Nkiru Okosieme,Nigeria,Charlotte Eagles
Ifeanyi Chiejine,Nigeria,Pelican Stars
Maureen Mmadu,Nigeria,Amazon Grimstad
Florence Iweta,Nigeria,Delta Queens
Florence Omagbemi (captain),Nigeria,Hampton Roads Piranhas
Patience Avre,Nigeria,Charlotte Eagles
Esther Okhae,Nigeria,Sunshine Queens
Vera Okolo,Nigeria,Delta Queens
Player,North Korea,Club
Ri Jong-hui (captain),North Korea,Pyongyang
Yun In-sil,North Korea,Amnokgang
Kim Hwa-song,North Korea,Sobaeksu
Sin Kum-ok,North Korea,Amnokgang
Ra Mi-ae,North Korea,Pyongyang
Ri Kum-suk,North Korea,Sobaeksu
Pak Kum-chun,North Korea,Amnokgang
Ho Sun-hui,North Korea,Amnokgang
Jin Pyol-hui,North Korea,Wolmido
Yun Yong-hui,North Korea,Rimyongsu
Jang Ok-gyong,North Korea,Amnokgang
Song Jong-sun,North Korea,Amnokgang
O Kum-ran,North Korea,Amnokgang
Ri Un-gyong,North Korea,Rimyongsu
Pak Kyong-sun,North Korea,Rimyongsu
Jon Hye-yong,North Korea,Amnokgang
Chon Kyong-hwa,North Korea,Rimyongsu
Ri Hyang-ok,North Korea,Rimyongsu
Ri Un-ju,North Korea,Pyongyang
Player,Sweden,Club
Caroline Jönsson,Sweden,Malmö FF
Karolina Westberg,Sweden,Malmö FF
Jane Törnqvist,Sweden,Djurgården/Älvsjö
Hanna Marklund,Sweden,Umeå IK
Kristin Bengtsson,Sweden,Kopparbergs/Landvetter
Malin Moström (captain),Sweden,Umeå IK
Sara Larsson,Sweden,Malmö FF
Frida Nordin,Sweden,Malmö FF
Malin Andersson,Sweden,Malmö FF
Hanna Ljungberg,Sweden,Umeå IK
Victoria Svensson,Sweden,Djurgården/Älvsjö
Sofia Lundgren,Sweden,Umeå IK
Sara Johansson,Sweden,Djurgården/Älvsjö
Linda Fagerström,Sweden,Djurgården/Älvsjö
Therese Sjögran,Sweden,Malmö FF
Salina Olsson,Sweden,Hammarby
Anna Sjöström,Sweden,Umeå IK
Frida Östberg,Sweden,Umeå IK
Sara Call,Sweden,Bälinge IF
Josefine Öqvist,Sweden,Bälinge IF
Player,United States,Club
Briana Scurry,United States,Atlanta Beat
Kylie Bivens,United States,Atlanta Beat
Christie Pearce,United States,New York Power
Cat Reddick,United States,University of North Carolina
Tiffany Roberts,United States,Carolina Courage
Brandi Chastain,United States,San Jose CyberRays
Shannon Boxx,United States,New York Power
Shannon MacMillan,United States,San Diego Spirit
Mia Hamm,United States,Washington Freedom
Aly Wagner,United States,Boston Breakers
Julie Foudy (captain),United States,San Diego Spirit
Cindy Parlow,United States,Atlanta Beat
Kristine Lilly,United States,Boston Breakers
Joy Fawcett,United States,San Diego Spirit
Kate Sobrero,United States,Boston Breakers
Tiffeny Milbrett,United States,New York Power
Danielle Slaton,United States,Carolina Courage
Siri Mullinix,United States,Washington Freedom
Angela Hucles,United States,San Diego Spirit
Abby Wambach,United States,Washington Freedom
Player,Brazil,Club
Andréia,Brazil,Santa Isabel
Simone,Brazil,Santos
Juliana (captain),Brazil,Corinthians
Tânia,Brazil,Santa Isabel
Renata Costa,Brazil,Unattached
Michele,Brazil,Palmeiras
Formiga,Brazil,Santa Isabel
Rafaela,Brazil,Grêmio Maringá
Kelly,Brazil,CEPE-Caxias
Marta,Brazil,Santa Cruz
Cristiane,Brazil,Juventus
Giselle,Brazil,Juventus
Mônica,Brazil,Matonense
Rosana,Brazil,Internacional
Renata Diniz,Brazil,Juventus
Maycon,Brazil,Grêmio
Kátia,Brazil,San Jose CyberRays
Daniela,Brazil,San Diego Spirit
Priscila,Brazil,Portuguesa
Milene,Brazil,Rayo Vallecano
Player,France,Club
Céline Marty,France,Toulouse
Sabrina Viguier,France,Toulouse
Peggy Provost,France,Juvisy
Laura Georges,France,Paris Saint-Germain
Corinne Diacre (captain),France,Soyaux
Sandrine Soubeyrand,France,Juvisy
Stéphanie Mugneret-Béghé,France,Boston Breakers
Sonia Bompastor,France,Montpellier
Marinette Pichon,France,Philadelphia Charge
Élodie Woock,France,Toulouse
Amélie Coquet,France,Hénin-Beaumont
Séverine Lecouflé,France,Saint-Brieuc
Anne-Laure Casseleux,France,Soyaux
Virginie Dessalle,France,Lyon
Laëtitia Tonazzi,France,Juvisy
Bérangère Sapowicz,France,Paris Saint-Germain
Marie-Ange Kramo,France,Toulouse
Hoda Lattaf,France,Montpellier
Severine Goulois,France,Hénin-Beaumont
Emmanuelle Sykora,France,Lyon
Player,Norway,Club
Bente Nordby,Norway,Kolbotn
Brit Sandaune,Norway,Trondheims-Ørn
Ane Stangeland,Norway,Klepp
Monica Knudsen,Norway,Asker
Karin Bredland,Norway,Røa
Hege Riise,Norway,Carolina Courage
Trine Rønning,Norway,Kolbotn
Solveig Gulbrandsen,Norway,Kolbotn
Anita Rapp,Norway,Asker
Unni Lehn,Norway,Carolina Courage
Marianne Pettersen,Norway,Asker
Silje Vesterbekkmo,Norway,Røa
Anne Tønnessen,Norway,Klepp
Dagny Mellgren (captain),Norway,Boston Breakers
Marit Fiane Christensen,Norway,Asker
Gunhild Følstad,Norway,Trondheims-Ørn
Linda Ørmen,Norway,Asker
Ingrid Camilla Fosse Sæthre,Norway,Arna-Bjørnar
Kristine Edner,Norway,Røa
Lise Klaveness,Norway,Asker
Player,South Korea,Club
Jung Ho-jung,South Korea,INI Steel
Kim Ju-hee,South Korea,Wirye Information Industry HS
Hong Kyung-suk,South Korea,Yeojoo Institute of Technology
Kim Yu-jin,South Korea,INI Steel
Park Hae-jung,South Korea,INI Steel
Jin Suk-hee,South Korea,INI Steel
Park Eun-sun,South Korea,Wirye Information Industry HS
Hwang In-sun,South Korea,INI Steel
Song Ju-hee,South Korea,INI Steel
Kim Jin-hee,South Korea,Ulsan College
Lee Ji-eun,South Korea,INI Steel
Kim Jung-mi,South Korea,Yeungjin College
Kim Yoo-jin,South Korea,INI Steel
Han Jin-sook,South Korea,Daekyo Kangaroos
Kim Kyul-sil,South Korea,Yeojoo Institute of Technology
Shin Sun-nam,South Korea,INI Steel
Sung Hyun-ah,South Korea,Daekyo Kangaroos
Kim Yu-mi,South Korea,INI Steel
Lee Myung-hwa,South Korea,INI Steel
Yoo Young-sil (captain),South Korea,INI Steel
Player,Argentina,Club
Romina Ferro,Argentina,River Plate
Clarisa Huber,Argentina,Unattached
Mariela Ricotti,Argentina,Boca Juniors
Andrea Gonsebate,Argentina,Unattached
Marisa Gerez (captain),Argentina,Boca Juniors
Noelia López,Argentina,River Plate
Karina Alvariza,Argentina,Boca Juniors
Natalia Gatti,Argentina,Unattached
Yesica Arrien,Argentina,Gimnasia y Esgrima
Rosana Gómez,Argentina,Boca Juniors
Marisol Medina,Argentina,Unattached
Vanina Correa,Argentina,Banfield
Nancy Díaz,Argentina,Boca Juniors
Fabiana Vallejos,Argentina,River Plate
Yanina Gaitán,Argentina,Boca Juniors
Adela Medina,Argentina,Unattached
Valeria Cotelo,Argentina,Unattached
Mariela Coronel,Argentina,Independiente
Celeste Barbitta,Argentina,Unattached
Elizabeth Villanueva,Argentina,Boca Juniors
Player,Canada,Club
Karina LeBlanc,Canada,Boston Breakers
Christine Latham,Canada,San Diego Spirit
Linda Consolante,Canada,Maine Black Bears
Sasha Andrews,Canada,SMU Mustangs
Andrea Neil,Canada,Vancouver Whitecaps
Sharolta Nonen,Canada,Atlanta Beat
Isabelle Morneau,Canada,Ottawa Fury
Kristina Kiss,Canada,IF Fløya
Rhian Wilkinson,Canada,Ottawa Fury
Charmaine Hooper (captain),Canada,Atlanta Beat
Randee Hermus,Canada,IF Fløya
Christine Sinclair,Canada,Portland Pilots
Diana Matheson,Canada,Toronto Inferno
Carmelina Moscato,Canada,Penn State
Kara Lang,Canada,Vancouver Whitecaps
Brittany Timko,Canada,Nebraska Cornhuskers
Silvana Burtini,Canada,Unattached
Tanya Dennis,Canada,Nebraska Cornhuskers
Erin McLeod,Canada,Unattached
Taryn Swiatek,Canada,Ottawa Fury
Player,Germany,Club
Silke Rottenberg,Germany,FCR 2001 Duisburg
Kerstin Stegemann,Germany,FFC Heike Rheine
Linda Bresonik,Germany,FCR 2001 Duisburg
Nia Künzer,Germany,1. FFC Frankfurt
Steffi Jones,Germany,1. FFC Frankfurt
Renate Lingor,Germany,1. FFC Frankfurt
Pia Wunderlich,Germany,1. FFC Frankfurt
Sandra Smisek,Germany,FSV Frankfurt
Birgit Prinz,Germany,1. FFC Frankfurt
Bettina Wiegmann (captain),Germany,FFC Brauweiler Pulheim
Martina Müller,Germany,SC 07 Bad Neuenahr
Sonja Fuss,Germany,FFC Brauweiler Pulheim
Sandra Minnert,Germany,1. FFC Frankfurt
Maren Meinert,Germany,Boston Breakers
Nadine Angerer,Germany,1. FFC Turbine Potsdam
Viola Odebrecht,Germany,1. FFC Turbine Potsdam
Ariane Hingst,Germany,1. FFC Turbine Potsdam
Kerstin Garefrekes,Germany,FFC Heike Rheine
Stefanie Gottschlich,Germany,VfL Wolfsburg
Conny Pohlers,Germany,1. FFC Turbine Potsdam
Player,Japan,Club
Nozomi Yamago,Japan,Urawa Reds
Yumi Obe (captain),Japan,TEPCO Mareeze
Hiromi Isozaki,Japan,Tasaki Perule
Yasuyo Yamagishi,Japan,Kunoichi
Tomoe Sakai,Japan,NTV Beleza
Yayoi Kobayashi,Japan,NTV Beleza
Naoko Kawakami,Japan,Tasaki Perule
Tomomi Miyamoto,Japan,Kunoichi
Eriko Arakawa,Japan,NTV Beleza
Homare Sawa,Japan,Atlanta Beat
Mio Otani,Japan,Tasaki Perule
Shiho Onodera,Japan,NTV Beleza
Mai Nakachi,Japan,NTV Beleza
Kyoko Yano,Japan,Kanagawa University
Yuka Miyazaki,Japan,Kunoichi
Emi Yamamoto,Japan,Tasaki Perule
Miyuki Yanagita,Japan,Tasaki Perule
Karina Maruyama,Japan,Nippon Sport Science University
Akiko Sudo,Japan,NTV Beleza
Aya Miyama,Japan,Okayama Yunogo Belle
Player,Australia,Club
Cassandra Kell,Australia,NSW Sapphires
Gillian Foster,Australia,Canberra Eclipse
Sacha Wainwright,Australia,Canberra Eclipse
Dianne Alagich,Australia,San Jose CyberRays
Cheryl Salisbury (captain),Australia,New York Power
Rhian Davies,Australia,Canberra Eclipse
Kelly Golebiowski,Australia,Washington Freedom
Bryony Duus,Australia,Queensland Sting
April Mann,Australia,Queensland Sting
Joanne Peters,Australia,New York Power
Heather Garriock,Australia,Queensland Sting
Melissa Barbieri,Australia,Victoria Vision
Karla Reuter,Australia,Queensland Sting
Pamela Grant,Australia,Queensland Sting
Tal Karp,Australia,Canberra Eclipse
Taryn Rockall,Australia,NSW Sapphires
Danielle Small,Australia,Northern NSW Pride
