Name,Country,Club
Player,Brazil,Club
Meg,Brazil,Vasco da Gama
Valeria,Brazil,Saad EC
Elane,Brazil,Euroexport-SP
Solange,Brazil,Euroexport-BA
Leda Maria,Brazil,Vasco da Gama
Fanta,Brazil,Vasco da Gama
Pretinha,Brazil,Vasco da Gama
Cenira (captain),Brazil,Vasco da Gama
Michael Jackson,Brazil,Saad EC
Sissi,Brazil,Euroexport-SP
Roseli,Brazil,Euroexport-SP
Eliane,Brazil,Saad EC
Nenê,Brazil,Saad EC
Márcia Taffarel,Brazil,?
Nalvinha,Brazil,Saad EC
Formiga,Brazil,Euroexport-BA
Yara,Brazil,Gama
Kátia,Brazil,Vasco da Gama
Suzy,Brazil,Vasco da Gama
Tânia,Brazil,Euroexport-BA
Player,Germany,Club
Manuela Goller,Germany,Grün-Weiß Brauweiler
Anouschka Bernhard,Germany,FSV Frankfurt
Birgitt Austermühl,Germany,FSV Frankfurt
Dagmar Pohlmann,Germany,FSV Frankfurt
Ursula Lohn,Germany,TuS Ahrbach
Maren Meinert,Germany,FC Rumeln-Kaldenhausen
Martina Voss,Germany,FC Rumeln-Kaldenhausen
Bettina Wiegmann,Germany,Sportfreunde Siegen
Heidi Mohr,Germany,TuS Ahrbach
Silvia Neid (captain),Germany,TSV Siegen
Patricia Brocker,Germany,TuS Niederkirchen
Katja Kraus,Germany,FSV Frankfurt
Melanie Hoffmann,Germany,FC Rumeln-Kaldenhausen
Sandra Minnert,Germany,FSV Frankfurt
Claudia Klein,Germany,Grün-Weiß Brauweiler
Birgit Prinz,Germany,FSV Frankfurt
Tina Wunderlich,Germany,SG Praunheim
Pia Wunderlich,Germany,SG Praunheim
Sandra Smisek,Germany,FSV Frankfurt
Christine Francke,Germany,TuS Ahrbach
Player,Japan,Club
Junko Ozawa,Japan,Tokyo Shidax LSC
Yumi Tomei,Japan,Yomiuri-Seiyu Beleza
Rie Yamaki,Japan,Nikko Securities Dream Ladies
Maki Haneta,Japan,Panasonic Bambina
Ryoko Uno,Japan,Yomiuri-Seiyu Beleza
Kae Nishina,Japan,Prima FC Kunoichi
Homare Sawa,Japan,Yomiuri-Seiyu Beleza
Asako Takakura,Japan,Yomiuri-Seiyu Beleza
Futaba Kioka,Japan,Suzuyo Shimizu FC
Akemi Noda (captain),Japan,Takarazuka Bunnys
Etsuko Handa,Japan,Suzuyo Shimizu FC
Yumi Obe,Japan,Nikko Securities Dream Ladies
Kaori Nagamine,Japan,Suzuyo Shimizu FC
Kaoru Kadohara,Japan,Panasonic Bambina
Tsuru Morimoto,Japan,Nikko Securities Dream Ladies
Nami Otake,Japan,Yomiuri-Seiyu Beleza
Tamaki Uchiyama,Japan,Prima FC Kunoichi
Inesu Emiko Takeoka,Japan,Nikko Securities Dream Ladies
Shiho Onodera,Japan,Yomiuri-Seiyu Beleza
Megumi Sakata,Japan,Prima FC Kunoichi
Player,Sweden,Club
Elisabeth Leidinge,Sweden,Malmö
Malin Lundgren,Sweden,Malmö
Åsa Jakobsson,Sweden,Gideonsbergs IF
Pia Sundhage (captain),Sweden,Hammarby IF
Kristin Bengtsson,Sweden,Hammarby IF
Anna Pohjanen,Sweden,Sunnanå SK
Lena Videkull,Sweden,Malmö
Susanne Hedberg,Sweden,Gideonsbergs IF
Malin Andersson,Sweden,Alvsjö AIK
Anneli Andelén,Sweden,Öxabäck/Mark IF
Ulrika Kalte,Sweden,Alvsjö AIK
Annelie Nilsson,Sweden,Sunnanå SK
Annika Nessvold,Sweden,Malmö
Åsa Lönnqvist,Sweden,Tyresö FF
Anneli Olsson,Sweden,Hammarby IF
Eva Zeikfalvy,Sweden,Malmö
Malin Flink,Sweden,Gideonsbergs IF
Helen Nilsson,Sweden,Gideonsbergs IF
Anika Bozicevic,Sweden,Malmö
Sofia Johansson,Sweden,Malmö
Player,Canada,Club
Wendy Hawthorne,Canada,Surrey Marlins SC
Helen Stoumbos,Canada,Kitchener Spirit
Charmaine Hooper,Canada,Prima FC Kunoichi
Michelle Ring,Canada,Surrey Marlins SC
Andrea Neil,Canada,Coquitlam Strikers
Geri Donnelly (captain),Canada,Coquitlam Strikers
Isabelle Morneau,Canada,FC Brossard
Nicole Sedgwick,Canada,Surrey Marlins SC
Janine Helland,Canada,Edmonton Angels
Veronica O'Brien,Canada,?
Annie Caron,Canada,Lakeshore United FC
Joan McEachern,Canada,Coquitlam Strikers
Angela Kelly,Canada,NC State
Cathy Ross,Canada,Coquitlam Strikers
Suzanne Muir,Canada,Coquitlam Strikers
Luce Mongrain,Canada,?
Silvana Burtini,Canada,Surrey Marlins SC
Carla Chin,Canada,Columbus Ziggs
Suzanne Gerrior,Canada,NC State
Tania Singfield,Canada,Omega
Player,England,Club
Pauline Cope,England,Arsenal Ladies
Hope Powell,England,Croydon Women
Tina Mapes,England,Croydon Women
Samantha Britton,England,Arsenal Ladies
Clare Taylor,England,Liverpool Ladies
Gillian Coultard,England,Doncaster Belles
Marieanne Spacey,England,Arsenal Ladies
Debbie Bampton (captain),England,Croydon Women
Karen Farley,England,Hammarby IF
Karen Burke,England,Liverpool Ladies
Brenda Sempare,England,Croydon Women
Kerry Davis,England,Croydon Women
Lesley Higgs,England,Wembley Ladies
Karen Walker,England,Doncaster Belles
Sian Williams,England,Arsenal Ladies
Donna Smith,England,Croydon Women
Louise Waller,England,Millwall Lionesses
Mary Phillip,England,Millwall Lionesses
Julie Fletcher,England,Millwall Lionesses
Becky Easton,England,Liverpool Ladies
Player,Nigeria,Club
Ann Chiejine,Nigeria,Princess Jegede
Florence Omagbemi (captain),Nigeria,Princess Jegede
Ngozi Ezeocha,Nigeria,Princess Jegede
Adaku Okoroafor,Nigeria,Princess Jegede
Omo-Love Branch,Nigeria,Rivers Angels
Yinka Kudaisi,Nigeria,Abiola Babes
Nkechi Mbilitam,Nigeria,Pelican Stars
Rita Nwadike,Nigeria,Rivers Angels
Ngozi Eucharia Uche,Nigeria,Ufuoma Babes
Mavis Ogun,Nigeria,Ufuoma Babes
Prisca Emeafu,Nigeria,Rivers Angels
Mercy Akide,Nigeria,Ufuoma Babes
Nkiru Okosieme,Nigeria,Rivers Angels
Phoebe Ebimiekumo,Nigeria,Ufuoma Babes
Maureen Mmadu,Nigeria,Princess Jegede
Ugochi Opara,Nigeria,?
Louisa Akpagu,Nigeria,Princess Jegede
Patience Avre,Nigeria,Princess Jegede
Diana Nwaiwu,Nigeria,Rivers Angels
Ann Mukoro,Nigeria,Rivers Angels
Player,Norway,Club
Bente Nordby,Norway,SK Sprint/Jeløy
Tina Svensson,Norway,Asker
Gro Espeseth,Norway,IL Sandviken
Anne Nymark Andersen,Norway,Bjørnar IL
Nina Nymark Andersen,Norway,IL Sandviken
Hege Riise,Norway,Setskog/Høland FK
Tone Haugen,Norway,Nikko Sec. Ladies FC
Heidi Støre (captain),Norway,Kolbotn IL
Kristin Sandberg,Norway,Asker
Linda Medalen,Norway,Nikko Sec. Ladies FC
Ann Kristin Aarønes,Norway,Trondheims-Ørn SK
Reidun Seth,Norway,Öxabäck IF
Merete Myklebust,Norway,Trondheims-Ørn SK
Hege Gunnerød,Norway,Asker
Randi Leinan,Norway,Trondheims-Ørn SK
Marianne Pettersen,Norway,Gjelleråsen IF
Anita Waage,Norway,Trondheims-Ørn SK
Tone Gunn Frustøl,Norway,FK Donn
Agnete Carlsen,Norway,Kolbotn IL
Ingrid Sternhoff,Norway,SK Haugar
Player,Australia,Club
