Stage,Country
Quarter-finals,China
Quarter-finals,Russia
Quarter-finals,Norway
Quarter-finals,Sweden
Quarter-finals,United States
Quarter-finals,Germany
Quarter-finals,Brazil
Quarter-finals,Nigeria
Semi-finals,United States
Semi-finals,Brazil
Semi-finals,Norway
Semi-finals,China
