Name,Country,Club
Player,Canada,Club
Erin McLeod,Canada,Houston Dash
Emily Zurrer,Canada,Jitex BK
Kadeisha Buchanan,Canada,West Virginia Univ.
Carmelina Moscato,Canada,Unattached
Robyn Gayle,Canada,Unattached
Kaylyn Kyle,Canada,Portland Thorns
Rhian Wilkinson,Canada,Portland Thorns
Diana Matheson,Canada,Washington Spirit
Josée Bélanger,Canada,Unattached
Lauren Sesselmann,Canada,Houston Dash
Desiree Scott,Canada,Notts County
Christine Sinclair (captain),Canada,Portland Thorns
Sophie Schmidt,Canada,Unattached
Melissa Tancredi,Canada,Chicago Red Stars
Allysha Chapman,Canada,Houston Dash
Jonelle Filigno,Canada,Sky Blue
Jessie Fleming,Canada,Nor'West SC
Selenia Iacchelli,Canada,Unattached
Adriana Leon,Canada,Chicago Red Stars
Marie-Ève Nault,Canada,Unattached
Stephanie Labbé,Canada,Unattached
Ashley Lawrence,Canada,West Virginia Univ.
Karina LeBlanc,Canada,Chicago Red Stars
Player,China PR,Club
Zhang Yue,China PR,Beijing BG
Liu Shanshan,China PR,Hebei Zhongji
Pang Fengyue,China PR,Dalian Junfeng
Li Jiayue,China PR,Shanghai Vinpac
Wu Haiyan (captain),China PR,Shandong
Li Dongna,China PR,Suwon FMC
Xu Yanlu,China PR,Jiangsu Huatai
Ma Jun,China PR,Daejeon Sportstoto
Wang Shanshan,China PR,Tianjin Huisen
Li Ying,China PR,Shandong
Wang Shuang,China PR,Wuhan Jianghan Univ.
Wang Fei,China PR,Turbine Potsdam
Tang Jiali,China PR,Shanghai Vinpac
Zhao Rong,China PR,Beijing BG
Lei Jiahui,China PR,Henan
Lou Jiahui,China PR,Henan
Gu Yasha,China PR,Beijing BG
Han Peng,China PR,Tianjin Huisen
Tan Ruyin,China PR,Guangdong Sports Lottery
Zhang Rui,China PR,Liberation Army FC
Wang Lisi,China PR,Jiangsu Huatai
Zhao Lina,China PR,Shanghai Vinpac
Ren Guixin,China PR,Changchun Zhuoyue
Player,Netherlands,Club
Loes Geurts,Netherlands,Kopparbergs/Göteborg FC
Desiree van Lunteren,Netherlands,AFC Ajax
Stefanie van der Gragt,Netherlands,Telstar
Mandy van den Berg (captain),Netherlands,LSK Kvinner FK
Petra Hogewoning,Netherlands,AFC Ajax
Anouk Dekker,Netherlands,FC Twente
Manon Melis,Netherlands,Kopparbergs/Göteborg FC
Sherida Spitse,Netherlands,LSK Kvinner FK
Vivianne Miedema,Netherlands,FC Bayern Munich
Daniëlle van de Donk,Netherlands,PSV/FC Eindhoven
Lieke Martens,Netherlands,Kopparbergs/Göteborg FC
Dyanne Bito,Netherlands,Telstar
Dominique Bloodworth,Netherlands,SGS Essen
Anouk Hoogendijk,Netherlands,AFC Ajax
Merel van Dongen,Netherlands,AFC Ajax
Sari van Veenendaal,Netherlands,FC Twente
Tessel Middag,Netherlands,AFC Ajax
Maran van Erp,Netherlands,PSV/FC Eindhoven
Kirsten van de Ven,Netherlands,FC Rosengård
Jill Roord,Netherlands,FC Twente
Vanity Lewerissa,Netherlands,Standard Liège
Shanice van de Sanden,Netherlands,FC Twente
Angela Christ,Netherlands,PSV/FC Eindhoven
Player,New Zealand,Club
Erin Nayler,New Zealand,Norwest United
Ria Percival,New Zealand,USV Jena
Anna Green,New Zealand,Unattached
Katie Hoyle,New Zealand,FC Zürich
Abby Erceg (captain),New Zealand,Chicago Red Stars
Rebekah Stott,New Zealand,Unattached
Ali Riley,New Zealand,FC Rosengård
Jasmine Pereira,New Zealand,Three Kings United
Amber Hearn,New Zealand,USV Jena
Sarah Gregorius,New Zealand,AS Elfen Saitama
Kirsty Yallop,New Zealand,Vittsjö GIK
Betsy Hassett,New Zealand,Unattached
Rosie White,New Zealand,Unattached
Katie Bowen,New Zealand,Univ. of North Carolina
Meikayla Moore,New Zealand,Eastern Suburbs
