Name,Country,Club
Player,France,Club
Solène Durand,France,Guingamp
Ève Périsset,France,Paris Saint-Germain
Wendie Renard,France,Lyon
Marion Torrent,France,Montpellier
Aïssatou Tounkara,France,Atlético Madrid
Amandine Henry (captain),France,Lyon
Sakina Karchaoui,France,Montpellier
Grace Geyoro,France,Paris Saint-Germain
Eugénie Le Sommer,France,Lyon
Amel Majri,France,Lyon
Kadidiatou Diani,France,Paris Saint-Germain
Emelyne Laurent,France,Guingamp
Valérie Gauvin,France,Montpellier
Charlotte Bilbault,France,Paris FC
Élise Bussaglia,France,Dijon
Sarah Bouhaddi,France,Lyon
Gaëtane Thiney,France,Paris FC
Viviane Asseyi,France,Bordeaux
Griedge Mbock Bathy,France,Lyon
Delphine Cascarino,France,Lyon
Pauline Peyraud-Magnin,France,Arsenal
Julie Debever,France,Guingamp
Maéva Clemaron,France,Fleury
Player,Nigeria,Club
Tochukwu Oluehi,Nigeria,Rivers Angels
Amarachi Okoronkwo,Nigeria,Nasarawa Amazons
Osinachi Ohale,Nigeria,Växjö
Ngozi Ebere,Nigeria,Arna-Bjørnar
Onome Ebi,Nigeria,Henan Huishang
Evelyn Nwabuoku,Nigeria,Rivers Angels
Anam Imo,Nigeria,Rosengård
Asisat Oshoala,Nigeria,Barcelona
Desire Oparanozie (captain),Nigeria,Guingamp
Rita Chikwelu,Nigeria,Kristianstads
Chinaza Uchendu,Nigeria,Braga
Uchenna Kanu,Nigeria,Southeastern Fire
Ngozi Okobi-Okeoghene,Nigeria,Eskilstuna United
Faith Michael,Nigeria,Piteå
Rasheedat Ajibade,Nigeria,Avaldsnes
Chiamaka Nnadozie,Nigeria,Rivers Angels
Francisca Ordega,Nigeria,Shanghai [zh]
Halimatu Ayinde,Nigeria,Eskilstuna United
Chinwendu Ihezuo,Nigeria,Henan Huishang
Chidinma Okeke,Nigeria,Robo Queens
Alaba Jonathan,Nigeria,Bayelsa Queens
Alice Ogebe,Nigeria,Rivers Angels
Ogonna Chukwudi,Nigeria,Djurgården
Player,Norway,Club
Ingrid Hjelmseth,Norway,Stabæk
Ingrid Moe Wold,Norway,LSK Kvinner
Maria Thorisdottir,Norway,Chelsea
Stine Hovland,Norway,Sandviken
Synne Skinnes Hansen,Norway,LSK Kvinner
Maren Mjelde (captain),Norway,Chelsea
Elise Thorsnes,Norway,LSK Kvinner
Vilde Bøe Risa,Norway,Kopparbergs/Göteborg
Isabell Herlovsen,Norway,Kolbotn
Caroline Graham Hansen,Norway,VfL Wolfsburg
Lisa-Marie Karlseng Utland,Norway,Rosengård
Cecilie Fiskerstrand,Norway,LSK Kvinner
Therese Åsland,Norway,LSK Kvinner
Ingrid Syrstad Engen,Norway,LSK Kvinner
Amalie Eikeland,Norway,Sandviken
Guro Reiten,Norway,LSK Kvinner
Kristine Minde,Norway,VfL Wolfsburg
Frida Maanum,Norway,Linköping
Cecilie Redisch Kvamme,Norway,Sandviken
Emilie Haavi,Norway,LSK Kvinner
Karina Sævik,Norway,Kolbotn
Emilie Nautnes,Norway,Arna-Bjørnar
Oda Maria Hove Bogstad,Norway,Arna-Bjørnar
Player,South Korea,Club
Kang Ga-ae,South Korea,Gumi Sportstoto
Lee Eun-mi,South Korea,Suwon UDC
Jeong Yeong-a,South Korea,Gyeongju KHNP
Hwang Bo-ram,South Korea,Hwacheon KSPO
Kim Do-yeon,South Korea,Hyundai Steel Red Angels
Lim Seon-joo,South Korea,Hyundai Steel Red Angels
Lee Min-a,South Korea,INAC Kobe Leonessa
Cho So-hyun (captain),South Korea,West Ham United
Moon Mi-ra,South Korea,Suwon UDC
Ji So-yun,South Korea,Chelsea
Jung Seol-bin,South Korea,Hyundai Steel Red Angels
Kang Yu-mi,South Korea,Hwacheon KSPO
Yeo Min-ji,South Korea,Suwon UDC
Shin Dam-yeong,South Korea,Hyundai Steel Red Angels
Lee Young-ju,South Korea,Hyundai Steel Red Angels
Jang Sel-gi,South Korea,Hyundai Steel Red Angels
Lee Geum-min,South Korea,Gyeongju KHNP
Kim Min-jeong,South Korea,Hyundai Steel Red Angels
Lee So-dam,South Korea,Hyundai Steel Red Angels
Kim Hye-ri,South Korea,Hyundai Steel Red Angels
Jung Bo-ram,South Korea,Hwacheon KSPO
Son Hwa-yeon,South Korea,Changnyeong
Kang Chae-rim,South Korea,Hyundai Steel Red Angels
Player,China PR,Club
Xu Huan,China PR,Beijing Phoenix
Liu Shanshan,China PR,Beijing Phoenix
Lin Yuping,China PR,Wuhan Jianghan University
Lou Jiahui,China PR,Henan Huishang
Wu Haiyan (captain),China PR,Wuhan Jianghan University
Han Peng,China PR,Guangdong Huijun
Wang Shuang,China PR,Paris Saint-Germain
Li Jiayue,China PR,Shanghai [zh]
Yang Li,China PR,Jiangsu Suning
Li Ying,China PR,Guangdong Huijun
Wang Shanshan,China PR,Dalian Quanjian
Peng Shimeng,China PR,Jiangsu Suning
Wang Yan,China PR,Beijing Phoenix
Wang Ying,China PR,Wuhan Jianghan University
Song Duan,China PR,Dalian Quanjian
Li Wen,China PR,Dalian Quanjian
Gu Yasha,China PR,Beijing Phoenix
Bi Xiaolin,China PR,Dalian Quanjian
