Stage,Country
Quarter-finals,Denmark
Quarter-finals,Germany
Quarter-finals,China
Quarter-finals,Sweden
Quarter-finals,Norway
Quarter-finals,Italy
Quarter-finals,United States
Quarter-finals,Chinese Taipei
Semi-finals,Sweden
Semi-finals,Norway
Semi-finals,Germany
Semi-finals,United States
