Name,Country,Club
Player,Canada,Club
Karina LeBlanc,Canada,Chicago Red Stars
Emily Zurrer,Canada,Vancouver Whitecaps
Kelly Parker,Canada,Atlanta Beat
Carmelina Moscato,Canada,Unattached
Robyn Gayle,Canada,Vancouver Whitecaps
Kaylyn Kyle,Canada,Vancouver Whitecaps
Rhian Wilkinson,Canada,Lillestrøm SK
Diana Matheson,Canada,Lillestrøm SK
Candace Chapman,Canada,Western New York Flash
Jodi-Ann Robinson,Canada,Vancouver Whitecaps
Desiree Scott,Canada,Vancouver Whitecaps
Christine Sinclair (captain),Canada,Western New York Flash
Sophie Schmidt,Canada,Vancouver Whitecaps
Melissa Tancredi,Canada,Vancouver Whitecaps
Christina Julien,Canada,Ottawa Fury
Jonelle Filigno,Canada,Rutgers University
Brittany Timko,Canada,Unattached
Erin McLeod,Canada,Chicago Red Stars
Chelsea Stewart,Canada,Vancouver Whitecaps
Marie-Ève Nault,Canada,Ottawa Fury
Stephanie Labbé,Canada,Piteå IF
Player,France,Club
Céline Deville,France,Montpellier
Wendie Renard,France,Lyon
Laure Boulleau,France,Paris Saint-Germain
Laura Georges,France,Lyon
Ophélie Meilleroux,France,Montpellier
Sandrine Soubeyrand (captain),France,Juvisy
Corine Franco,France,Lyon
Sonia Bompastor,France,Lyon
Eugénie Le Sommer,France,Lyon
Camille Abily,France,Lyon
Laure Lepailleur,France,Paris Saint-Germain
Élodie Thomis,France,Lyon
Caroline Pizzala,France,Paris Saint-Germain
Louisa Nécib,France,Lyon
Élise Bussaglia,France,Paris Saint-Germain
Bérangère Sapowicz,France,Paris Saint-Germain
Gaëtane Thiney,France,Juvisy
Marie-Laure Delie,France,Montpellier
Sandrine Brétigny,France,Lyon
Sabrina Viguier,France,Lyon
Laëtitia Philippe,France,Montpellier
Player,Germany,Club
Nadine Angerer,Germany,1. FFC Frankfurt
Bianca Schmidt,Germany,1. FFC Turbine Potsdam
Saskia Bartusiak,Germany,1. FFC Frankfurt
Babett Peter,Germany,1. FFC Turbine Potsdam
Annike Krahn,Germany,FCR 2001 Duisburg
Simone Laudehr,Germany,FCR 2001 Duisburg
Melanie Behringer,Germany,1. FFC Frankfurt
Inka Grings,Germany,FCR 2001 Duisburg
Birgit Prinz (captain),Germany,1. FFC Frankfurt
Linda Bresonik,Germany,FCR 2001 Duisburg
Alexandra Popp,Germany,FCR 2001 Duisburg
Ursula Holl,Germany,FCR 2001 Duisburg
Célia Okoyino da Mbabi,Germany,SC 07 Bad Neuenahr
Kim Kulig,Germany,Hamburger SV
Verena Faißt,Germany,VfL Wolfsburg
Martina Müller,Germany,VfL Wolfsburg
Ariane Hingst,Germany,1. FFC Frankfurt
Kerstin Garefrekes,Germany,1. FFC Frankfurt
Fatmire Bajramaj,Germany,1. FFC Turbine Potsdam
Lena Goeßling,Germany,SC 07 Bad Neuenahr
Almuth Schult,Germany,Magdeburger FFC
Player,Nigeria,Club
Precious Dede (captain),Nigeria,Rivers Angels
Rebecca Kalu,Nigeria,Rivers Angels
Osinachi Ohale,Nigeria,Delta Queens
Perpetua Nkwocha,Nigeria,Sunnanå SK
Onome Ebi,Nigeria,Düvenciler Lisesispor
Helen Ukaonu,Nigeria,Sunnanå SK
Stella Mbachu,Nigeria,Rivers Angels
Ebere Orji,Nigeria,Rivers Angels
Desire Oparanozie,Nigeria,Delta Queens
Rita Chikwelu,Nigeria,Umeå IK
Glory Iroka,Nigeria,Rivers Angels
Sarah Michael,Nigeria,KIF Örebro DFF
Ogonna Chukwudi,Nigeria,Umeå IK
Faith Ikidi,Nigeria,Piteå IF
Josephine Chukwunonye,Nigeria,Rivers Angels
Tochukwu Oluehi,Nigeria,Sunshine Queens
Francisca Ordega,Nigeria,Bayelsa Queens
Ulunma Jerome,Nigeria,Piteå IF
Uchechi Sunday,Nigeria,FC Neunkirch
