Stage,Country
Quarter-finals,Spain
Quarter-finals,Netherlands
Quarter-finals,Japan
Quarter-finals,Sweden
Quarter-finals,Australia
Quarter-finals,France
Quarter-finals,England
Quarter-finals,Colombia
Semi-finals,Spain
Semi-finals,Sweden
Semi-finals,Australia
Semi-finals,England
