Stage,Country
Quarter-finals,Germany
Quarter-finals,North Korea
Quarter-finals,United States
Quarter-finals,England
Quarter-finals,Norway
Quarter-finals,China
Quarter-finals,Brazil
Quarter-finals,Australia
Semi-finals,Germany
Semi-finals,Norway
Semi-finals,United States
Semi-finals,Brazil
