Stage,Country
Quarter-finals,Brazil
Quarter-finals,Sweden
Quarter-finals,United States
Quarter-finals,Norway
Quarter-finals,Germany
Quarter-finals,Russia
Quarter-finals,China
Quarter-finals,Canada
Semi-finals,United States
Semi-finals,Germany
Semi-finals,Sweden
Semi-finals,Canada
